X,Y,Name,Attribute,CATCOA,CATROD,CATSLO,ELEVAT,NATCON,OBJNAM,SORDAT,SORIND,STATUS,VALDCO
-64.5552861071764,-42.4408413754651,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.35987015,-42.23944105,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.3117727,-42.4134803,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.6762086381462,-42.2378611114958,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-63.9927708866926,-42.2801881390775,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.582829644982,-42.3322036453752,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.0941888050102,-42.2349525364544,Road,Value,,3,,,,,19950401,"AR,AR,graph,H277",,
-64.0794877857065,-42.234021774732,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.5803810539215,-42.3536990906045,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.519577,-42.26619685,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.5022036312521,-42.4368472144744,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.0462644853037,-42.3800615939416,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.4904463523838,-42.2536878679988,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.0757083,-42.441681,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.4314669499997,-42.4555978999977,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.040558006402,-42.4139927073418,Road,Value,,2,,,,RUTA PROVINCIAL N°3,19950401,"AR,AR,graph,H277",,
-64.0170436858489,-42.438225366138,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.6319508499627,-42.4025960000116,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.5857595851148,-42.2663768413509,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.5877759500052,-42.3330398500496,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.1441372350366,-42.2386289831332,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.321731,-42.41531325,Road,Value,,3,,,,,19950401,"AR,AR,graph,H277",,
-64.2698491849403,-42.2325559518556,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.6866866903182,-42.2589363153411,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.6526619578879,-42.3475689644156,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.2555493900414,-42.2352119884363,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.0467765246908,-42.3958843582569,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.0195227488841,-42.2303760106293,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.0099121583931,-42.1849707650222,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.5748558287929,-42.4320253368508,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.333052399997,-42.4280051499678,Road,Value,,3,,,,,19950401,"AR,AR,graph,H277",,
