RCID,Latitud,Longitud,Profundidad
660,-42.4123210,-64.4911080,3.1
661,-42.0879790,-64.4193710,173.0
662,-41.9755390,-64.454708,152.0
663,-42.4109770,-64.2003410,16.5
665,-42.1627730,-64.1424160,17.6
666,-41.7976810,-64.6814600,140.0
670,-42.3800280,-64.0681310,9.7
671,-42.3943270,-64.2194930,31.0
672,-42.0605750,-64.4034230,168.0
673,-42.2228600,-64.6201470,11.5
675,-41.8048690,-64.5388030,141.0
676,-41.7160610,-64.133136,105.0
677,-42.3311900,-64.0993230,17.5
678,-42.2382750,-64.4102460,8.8
679,-42.069307,-64.5648760,157.0
680,-42.3991830,-64.1700510,15.5
682,-42.038827,-64.6038440,146.0
684,-42.1732950,-64.3275180,150.0
685,-42.3505060,-64.276798,63.0
686,-42.346716,-64.1271740,8.4
687,-42.192506,-64.6365930,99.0
688,-41.9733290,-64.3015150,151.0
689,-42.2990370,-64.4855060,38.0
691,-42.3847490,-64.4993170,33.0
692,-42.0895200,-64.4537680,174.0
693,-42.1467720,-64.0380230,22.5
694,-42.4067270,-64.5225180,21.5
698,-42.3472320,-64.5042060,70.0
699,-42.2536890,-64.163758,4.1
700,-42.222091,-64.3405870,6.4
701,-42.3489730,-64.1366700,36.0
702,-42.0883020,-64.3569880,162.0
703,-42.3014470,-64.3770320,65.0
704,-42.3420640,-64.205483,60.0
705,-42.4073930,-64.2551530,8.6
708,-42.1070410,-64.2329260,77.0
709,-42.2133740,-64.5689950,65.0
710,-42.1011650,-64.006438,50.0
711,-42.323602,-64.4374490,49.0
712,-42.3508010,-64.1278940,39.0
713,-41.9765550,-64.4982590,154.0
716,-41.8178640,-64.6743760,154.0
718,-42.3182440,-64.420632,75.0
720,-42.1414830,-64.2614290,118.0
721,-42.0812550,-64.5003110,170.0
1567,-42.2588760,-64.211522,7.7
1568,-42.3820340,-64.5697730,23.5
1569,-42.0647240,-64.6350560,143.0
1571,-42.3978990,-64.3725470,26.5
1572,-42.2053900,-64.4011180,102.0
1573,-41.9729600,-64.6422650,127.0
1574,-42.2039240,-64.3296290,75.0
1575,-42.2930130,-64.0682530,19.5
1579,-42.0151000,-64.2617260,154.0
1580,-42.1615780,-64.6296680,123.0
1581,-42.3042970,-64.2584910,52.0
1582,-42.2821840,-64.483453,21.5
1584,-42.1359210,-64.5783110,145.0
1585,-42.3981750,-64.4535500,29.5
1586,-42.257326,-64.4762990,3.9
1587,-42.4161710,-64.3490810,3.8
1588,-42.352558,-64.188272,46.0
1590,-42.0218670,-64.5956260,154.0
1591,-42.3827200,-64.1415380,37.0
1594,-42.0918550,-64.0031280,44.0
1596,-42.3203300,-64.4891980,66.0
1598,-42.1961320,-64.5296720,107.0
1599,-42.1209770,-64.005559,48.0
1601,-42.0938530,-64.1434310,19.6
1602,-42.2486850,-64.3591460,3.2
1603,-42.015354,-64.0362290,90.0
1604,-42.1777050,-64.1648400,14.6
1605,-42.2303970,-64.3954710,10.5
1606,-42.2111370,-64.5225130,76.0
1608,-42.3413320,-64.4479620,73.0
1612,-42.3902730,-64.3405990,15.5
